Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Heating,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,SaleCondition,SalePrice
CollgCr,2Story,7,2003,2003,GasA,Y,856,854,1710,2,3,1,8,0,548,Normal,208500
Veenker,1Story,6,1976,1976,GasA,Y,1262,0,1262,2,3,1,6,1,460,Normal,181500
CollgCr,2Story,7,2001,2002,GasA,Y,920,866,1786,2,3,1,6,1,608,Normal,223500
Crawfor,2Story,7,1915,1970,GasA,Y,961,756,1717,1,3,1,7,1,642,Abnorml,140000
NoRidge,2Story,8,2000,2000,GasA,Y,1145,1053,2198,2,4,1,9,1,836,Normal,250000
Mitchel,1.5Fin,5,1993,1995,GasA,Y,796,566,1362,1,1,1,5,0,480,Normal,143000
Somerst,1Story,8,2004,2005,GasA,Y,1694,0,1694,2,3,1,7,1,636,Normal,307000
NWAmes,2Story,7,1973,1973,GasA,Y,1107,983,2090,2,3,1,7,2,484,Normal,200000
OldTown,1.5Fin,7,1931,1950,GasA,Y,1022,752,1774,2,2,2,8,2,468,Abnorml,129900
BrkSide,1.5Unf,5,1939,1950,GasA,Y,1077,0,1077,1,2,2,5,2,205,Normal,118000
Sawyer,1Story,5,1965,1965,GasA,Y,1040,0,1040,1,3,1,5,0,384,Normal,129500
NridgHt,2Story,9,2005,2006,GasA,Y,1182,1142,2324,3,4,1,11,2,736,Partial,345000
Sawyer,1Story,5,1962,1962,GasA,Y,912,0,912,1,2,1,4,0,352,Normal,144000
CollgCr,1Story,7,2006,2007,GasA,Y,1494,0,1494,2,3,1,7,1,840,Partial,279500
NAmes,1Story,6,1960,1960,GasA,Y,1253,0,1253,1,2,1,5,1,352,Normal,157000
BrkSide,1.5Unf,7,1929,2001,GasA,Y,854,0,854,1,2,1,5,0,576,Normal,132000
NAmes,1Story,6,1970,1970,GasA,Y,1004,0,1004,1,2,1,5,1,480,Normal,149000
Sawyer,1Story,4,1967,1967,GasA,Y,1296,0,1296,2,2,2,6,0,516,Normal,90000
